path,pages,font_count,text_len,issues
dist/packs/eleves/1ere_spe_S2_PACK_ELEVE.pdf,7,9,6174,
dist/packs/eleves/1ere_spe_S3_PACK_ELEVE.pdf,7,5,5786,
dist/packs/eleves/1ere_spe_S4_PACK_ELEVE.pdf,6,9,5836,
dist/packs/eleves/1ere_spe_S5_PACK_ELEVE.pdf,7,7,5899,
dist/packs/eleves/2nde_PACK_ELEVE_COMPLET.pdf,48,37,36449,
dist/packs/eleves/2nde_PACK_EVALUATIONS_ELEVE.pdf,5,6,5614,
dist/packs/eleves/2nde_S1_PACK_ELEVE.pdf,7,6,6260,
dist/packs/eleves/2nde_S2_PACK_ELEVE.pdf,7,5,5244,
dist/packs/eleves/2nde_S3_PACK_ELEVE.pdf,7,5,5407,
dist/packs/eleves/2nde_S4_PACK_ELEVE.pdf,9,6,5933,
dist/packs/eleves/2nde_S5_PACK_ELEVE.pdf,9,6,5167,
dist/packs/eleves/3e_PACK_ELEVE_COMPLET.pdf,46,40,41316,
dist/packs/eleves/3e_PACK_EVALUATIONS_ELEVE.pdf,5,5,5669,
dist/packs/eleves/3e_S1_PACK_ELEVE.pdf,6,6,6230,
dist/packs/eleves/3e_S2_PACK_ELEVE.pdf,8,6,6800,
dist/packs/eleves/3e_S3_PACK_ELEVE.pdf,9,7,6525,
dist/packs/eleves/3e_S4_PACK_ELEVE.pdf,9,6,7049,
dist/packs/eleves/3e_S5_PACK_ELEVE.pdf,6,7,6438,
dist/packs/eleves/4e_PACK_ELEVE_COMPLET.pdf,42,37,35555,
dist/packs/eleves/4e_PACK_EVALUATIONS_ELEVE.pdf,4,5,4815,
dist/packs/eleves/4e_S1_PACK_ELEVE.pdf,6,7,6824,
dist/packs/eleves/4e_S2_PACK_ELEVE.pdf,7,5,5963,
dist/packs/eleves/4e_S3_PACK_ELEVE.pdf,7,5,5590,
dist/packs/eleves/4e_S4_PACK_ELEVE.pdf,9,7,5835,
dist/packs/eleves/4e_S5_PACK_ELEVE.pdf,6,5,3984,
dist/packs/enseignants/1ere_spe_PACK_ENSEIGNANT_COMPLET.pdf,231,107,212040,
dist/packs/enseignants/1ere_spe_PACK_EVALUATIONS_CORRIGE.pdf,7,9,3802,
dist/packs/enseignants/1ere_spe_S1_PACK_ENSEIGNANT.pdf,17,12,12815,
dist/packs/enseignants/1ere_spe_S2_PACK_ENSEIGNANT.pdf,15,17,13431,
dist/packs/enseignants/1ere_spe_S3_PACK_ENSEIGNANT.pdf,15,11,12922,
dist/packs/enseignants/1ere_spe_S4_PACK_ENSEIGNANT.pdf,14,15,13204,
dist/packs/enseignants/1ere_spe_S5_PACK_ENSEIGNANT.pdf,15,14,12837,
dist/packs/enseignants/2nde_PACK_ENSEIGNANT_COMPLET.pdf,225,82,203702,
dist/packs/enseignants/2nde_PACK_EVALUATIONS_CORRIGE.pdf,5,5,3846,
dist/packs/enseignants/2nde_S1_PACK_ENSEIGNANT.pdf,16,11,13750,
dist/packs/enseignants/2nde_S2_PACK_ENSEIGNANT.pdf,15,10,11934,
dist/packs/enseignants/2nde_S3_PACK_ENSEIGNANT.pdf,14,10,12131,
dist/packs/enseignants/2nde_S4_PACK_ENSEIGNANT.pdf,16,12,12948,
dist/packs/enseignants/2nde_S5_PACK_ENSEIGNANT.pdf,16,12,11946,
dist/packs/enseignants/3e_PACK_ENSEIGNANT_COMPLET.pdf,222,87,224908,
dist/packs/enseignants/3e_PACK_EVALUATIONS_CORRIGE.pdf,5,5,3783,
dist/packs/enseignants/3e_S1_PACK_ENSEIGNANT.pdf,14,11,14573,
dist/packs/enseignants/3e_S2_PACK_ENSEIGNANT.pdf,16,11,14752,
dist/packs/enseignants/3e_S3_PACK_ENSEIGNANT.pdf,17,14,14699,
dist/packs/enseignants/3e_S4_PACK_ENSEIGNANT.pdf,17,12,15534,
dist/packs/enseignants/3e_S5_PACK_ENSEIGNANT.pdf,13,12,13892,
dist/packs/enseignants/4e_PACK_ENSEIGNANT_COMPLET.pdf,199,82,190056,
